Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success
airplane,50,55.775978417085625,0.9987036733582462,-71.0,1000,241855,Yes
airplane,50,55.702714708452454,0.9986671679934556,37.0,2000,241855,Yes
airplane,50,54.501090430938355,0.9983432308415693,230.0,3000,241855,Yes
airplane,50,54.4189858883865,0.9982909175315228,357.0,4000,241855,Yes
airplane,50,54.372298413932896,0.9982561794607699,463.0,5000,241855,Yes
airplane,50,54.310200399697514,0.9982101562811649,639.0,6000,241855,Yes
airplane,50,54.249384459245995,0.99816233048737,783.0,7000,241855,Yes
airplane,50,53.52587515425522,0.9978725674126553,915.0,8000,241855,Yes
airplane,50,53.475956682317104,0.9978257917817054,1078.0,9000,241855,Yes
airplane,50,53.422905622182284,0.9977757824869983,1201.0,10000,241855,Yes
airplane,50,53.37254367762611,0.9977270474873146,1315.0,11000,241855,Yes
airplane,50,53.316083829408726,0.9976736784109874,1513.0,12000,241855,Yes
airplane,50,53.264776840138595,0.9976224635334985,1650.0,13000,241855,Yes
airplane,50,52.79428617619071,0.9974630524343804,2138.0,14000,241855,Yes
airplane,50,52.75154097603768,0.9974161818879764,2287.0,15000,241855,Yes
airplane,60,55.135422999721335,0.9984018048076005,31.0,1000,230102,Yes
airplane,60,54.90973420838027,0.998291369640887,217.0,2000,230102,Yes
airplane,60,53.900480977172975,0.9979838456620443,229.0,3000,230102,Yes
airplane,60,53.79402653004512,0.9979112479816338,438.0,4000,230102,Yes
airplane,60,53.71120569102366,0.9978520399625401,506.0,5000,230102,Yes
airplane,60,53.626468690412715,0.9977891102156488,691.0,6000,230102,Yes
airplane,60,52.99258150228954,0.9974980552617166,691.0,7000,230102,Yes
airplane,60,52.9227578152532,0.9974406499616763,821.0,8000,230102,Yes
airplane,60,52.86575366011376,0.9973889958230865,945.0,9000,230102,Yes
airplane,60,52.81279772986851,0.9973397896775856,1143.0,10000,230102,Yes
airplane,60,52.76221196180305,0.9972885550616831,1285.0,11000,230102,Yes
airplane,60,52.27561284944524,0.9970462303222641,1501.0,12000,230102,Yes
airplane,60,52.233736514097444,0.9970011230669503,1673.0,13000,230102,Yes
airplane,60,52.19276663315923,0.9969528946774813,1834.0,14000,230102,Yes
airplane,60,52.150799804779936,0.9969050416086863,1996.0,15000,230102,Yes
airplane,70,54.80510617533902,0.9982189906906774,567.0,1000,214656,Yes
airplane,70,53.65327035007111,0.9977929927982124,750.0,2000,214656,Yes
