Image,Quality,Position (a),Qt val,PSNR,SSIM,FSI,Count Modified
airplane,50,2,11.0,47.06150464142357,0.9943573902608782,217.0,2575
airplane,50,3,12.0,45.910205986913475,0.9924391941464743,282.0,2823
airplane,50,4,14.0,46.18220376927784,0.9930981396473328,220.0,1992
airplane,50,5,12.0,47.41959868212369,0.9950032230824675,256.0,1978
airplane,50,6,10.0,48.90781714282206,0.996379008221146,276.0,1936
airplane,50,7,16.0,47.082289383863625,0.9961625368658347,153.0,1233
airplane,50,8,14.0,47.575818535602835,0.9961364023504685,226.0,1434
airplane,50,9,13.0,47.64856431222405,0.9955749439138968,325.0,1629
airplane,50,10,14.0,47.29070266692668,0.9955296021646096,244.0,1522
airplane,50,11,18.0,47.14350468695152,0.9966268118904784,145.0,981
airplane,50,12,17.0,47.13598822478989,0.9963711098209407,237.0,1096
airplane,50,13,16.0,47.26921118925083,0.9964184655841442,258.0,1180
airplane,50,14,19.0,46.78389186968977,0.996315582549124,167.0,957
airplane,50,15,24.0,46.279650212983505,0.9968571458207544,116.0,697
airplane,50,16,40.0,46.70643001037885,0.9977787725670165,43.0,226
airplane,50,17,26.0,46.84495660012662,0.997453008621738,167.0,510
airplane,50,18,24.0,46.175291566061986,0.9965937511025598,235.0,700
airplane,50,19,22.0,47.26321041424633,0.9973643398527994,203.0,652
airplane,50,20,22.0,47.66445704685413,0.9977491629267615,179.0,590
airplane,50,21,24.0,47.24641978573153,0.9973446763286993,190.0,546
airplane,50,22,49.0,47.830685436179934,0.9978543498913331,28.0,117
airplane,50,23,36.0,50.04767864334618,0.9992067140659203,69.0,129
airplane,50,24,37.0,47.99957441021303,0.9986822653460452,115.0,196
airplane,50,25,29.0,47.30715859798633,0.9980354637722884,199.0,373
airplane,50,26,40.0,47.467939137351294,0.9985492771085276,105.0,190
airplane,50,27,58.0,50.69794266627203,0.9994466596890926,47.0,43
airplane,50,28,51.0,48.679537845314314,0.9981765578434131,112.0,88
airplane,50,29,61.0,49.88676548318115,0.9990970847931967,13.0,47
airplane,50,30,60.0,56.36002828188121,0.9998254094980467,35.0,11
airplane,50,31,57.0,53.94865884349392,0.9998079807611404,35.0,21
airplane,50,32,51.0,51.32637558990683,0.9995446208203036,60.0,48
airplane,50,33,56.0,53.19759845889876,0.9997390848848082,37.0,26
airplane,50,34,55.0,55.71656569541217,0.999878094981792,27.0,15
airplane,50,35,64.0,63.16537181168371,0.9999806687020747,22.0,2
airplane,50,36,72.0,56.67285686868294,0.9998951458274932,20.0,7
airplane,50,37,92.0,inf,1.0,18.0,0
airplane,50,38,78.0,64.50152139977773,0.9999707597516108,27.0,1
airplane,50,39,64.0,61.45118083849202,0.9999744172828404,19.0,3
airplane,50,40,68.0,65.60169728607077,0.9999778431911678,28.0,1
airplane,50,41,87.0,inf,1.0,18.0,0
airplane,50,42,69.0,inf,1.0,18.0,0
airplane,50,43,55.0,62.74396224976405,0.9999732353687204,38.0,3
airplane,50,44,56.0,inf,1.0,18.0,0
airplane,50,45,80.0,inf,1.0,18.0,0
airplane,50,46,109.0,inf,1.0,18.0,0
airplane,50,47,81.0,inf,1.0,18.0,0
airplane,50,48,87.0,inf,1.0,18.0,0
airplane,50,49,95.0,inf,1.0,18.0,0
airplane,50,50,98.0,inf,1.0,18.0,0
airplane,50,51,103.0,inf,1.0,18.0,0
airplane,50,52,104.0,inf,1.0,18.0,0
airplane,50,53,103.0,inf,1.0,18.0,0
airplane,50,54,62.0,inf,1.0,18.0,0
airplane,50,55,77.0,inf,1.0,18.0,0
airplane,50,56,113.0,inf,1.0,18.0,0
airplane,50,57,121.0,inf,1.0,18.0,0
airplane,50,58,112.0,inf,1.0,18.0,0
airplane,50,59,100.0,inf,1.0,18.0,0
airplane,50,60,120.0,inf,1.0,18.0,0
airplane,50,61,92.0,inf,1.0,18.0,0
airplane,50,62,101.0,inf,1.0,18.0,0
airplane,50,63,103.0,inf,1.0,18.0,0
airplane,50,64,99.0,inf,1.0,18.0,0
baboon,50,2,11.0,45.420619314687265,0.9966868681889798,305.0,3735
baboon,50,3,12.0,44.930862643433606,0.9964206586813494,277.0,3553
baboon,50,4,14.0,44.22729694893221,0.9953397652035414,308.0,3154
baboon,50,5,12.0,45.039082693997166,0.9959181100279224,355.0,3410
baboon,50,6,10.0,46.3596866869084,0.9965864113069408,329.0,3437
baboon,50,7,16.0,43.81526301756962,0.9946262577246138,317.0,2619
baboon,50,8,14.0,44.33500228710809,0.9950926566293017,408.0,3034
baboon,50,9,13.0,44.779591039034685,0.9955183921091288,400.0,3153
baboon,50,10,14.0,44.482806523497544,0.9954380212539663,359.0,2917
baboon,50,11,18.0,43.13489251742123,0.9947547223985134,328.0,2469
baboon,50,12,17.0,43.27567772350961,0.9945459244809426,395.0,2674
baboon,50,13,16.0,43.62199627403821,0.9946831798045739,436.0,2726
baboon,50,14,19.0,42.82168796139189,0.9938847114121978,390.0,2388
baboon,50,15,24.0,42.557213420416105,0.9948854490600013,302.0,1643
baboon,50,16,40.0,42.388874291207244,0.9964647421172669,125.0,612
baboon,50,17,26.0,42.3359167011202,0.9952938483257664,443.0,1444
baboon,50,18,24.0,41.95859246302356,0.9943593292846622,540.0,1848
baboon,50,19,22.0,42.13468823031742,0.9945682534400974,481.0,2121
baboon,50,20,22.0,42.10941683324932,0.9944516801466847,429.0,2122
baboon,50,21,24.0,41.88744057663902,0.9947834565125372,367.0,1878
baboon,50,22,49.0,38.900006042600396,0.9935293489032253,140.0,913
baboon,50,23,36.0,40.03900903753639,0.9945839077873175,295.0,1293
baboon,50,24,37.0,39.567803417116764,0.993653771453239,386.0,1366
baboon,50,25,29.0,41.15149688635568,0.9947131556283146,419.0,1539
baboon,50,26,40.0,40.7713362000178,0.9955216447348542,247.0,885
baboon,50,27,58.0,42.07284879090413,0.9971852082154865,116.0,313
baboon,50,28,51.0,44.30769226116701,0.9982668764735922,104.0,242
baboon,50,29,61.0,47.36607691716551,0.9993215536527462,62.0,84
baboon,50,30,60.0,45.41524367966579,0.9988115963825047,83.0,136
baboon,50,31,57.0,42.35059142438021,0.9975810228951758,198.0,304
baboon,50,32,51.0,40.99260998821326,0.9965492175512822,356.0,520
baboon,50,33,56.0,39.526893430692766,0.9956406283915912,379.0,603
baboon,50,34,55.0,38.640075888764045,0.994308273247551,504.0,769
baboon,50,35,64.0,38.83939655277325,0.995133761434613,305.0,543
baboon,50,36,72.0,39.02300115559485,0.9953334734461585,238.0,411
baboon,50,37,92.0,39.94887078818688,0.997085616541978,122.0,204
baboon,50,38,78.0,39.51508323766806,0.9964915669744495,161.0,313
baboon,50,39,64.0,40.152123519134626,0.9965069611715985,262.0,401
baboon,50,40,68.0,41.96078082930667,0.9979344403759851,167.0,234
baboon,50,41,87.0,43.70610089534509,0.9988024910302624,73.0,96
baboon,50,42,69.0,45.76693281737428,0.9990954005461748,92.0,95
baboon,50,43,55.0,47.53489743285242,0.9993956632242005,105.0,99
baboon,50,44,56.0,47.52223506239537,0.999330037983782,61.0,96
baboon,50,45,80.0,47.71744007229923,0.9995805816971737,60.0,45
baboon,50,46,109.0,47.10458653667442,0.9995892027967562,33.0,28
baboon,50,47,81.0,43.54733036053506,0.9987543297681853,108.0,115
