Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success
airplane,50,55.34713728577078,0.9981413129549257,86.0,1000,39867,Yes
airplane,50,51.80232340072407,0.9968250147311702,90.0,2000,39867,Yes
airplane,50,49.66196286947229,0.9957925861826116,98.0,3000,39867,Yes
airplane,50,48.218815370873614,0.9950888032247509,92.0,4000,39867,Yes
airplane,50,47.036786266166644,0.9945653930848305,103.0,5000,39867,Yes
airplane,50,46.11368639662046,0.9942410687449523,106.0,6000,39867,Yes
airplane,50,45.25643737022027,0.9925586371354085,152.0,7000,39867,Yes
airplane,50,44.757179988880544,0.9917723727395518,162.0,8000,39867,Yes
airplane,50,44.3163566302929,0.9912523794379867,167.0,9000,39867,Yes
airplane,50,43.91926712944301,0.9909054668454,154.0,10000,39867,Yes
airplane,50,43.480951182920805,0.9903947076936359,173.0,11000,39867,Yes
airplane,50,42.98405906722809,0.9890999846921956,222.0,12000,39867,Yes
airplane,50,42.63931932366259,0.9884493236535392,231.0,13000,39867,Yes
airplane,50,42.32524991312431,0.9880063832794741,244.0,14000,39867,Yes
airplane,50,41.98982587464499,0.9874022058488918,255.0,15000,39867,Yes
airplane,60,56.763202281499304,0.9985179029295111,88.0,1000,46491,Yes
airplane,60,53.50652429109762,0.997211441964259,124.0,2000,46491,Yes
airplane,60,51.42128477368938,0.9963085313770501,136.0,3000,46491,Yes
airplane,60,49.84329664926492,0.9956030929098854,151.0,4000,46491,Yes
airplane,60,48.671555921361865,0.995107609996932,147.0,5000,46491,Yes
airplane,60,47.71299879419342,0.9947358039944915,131.0,6000,46491,Yes
airplane,60,47.01398806383218,0.994330489762515,150.0,7000,46491,Yes
airplane,60,46.38222332909245,0.9930222060569315,230.0,8000,46491,Yes
airplane,60,45.96080242220413,0.9923517148203247,238.0,9000,46491,Yes
airplane,60,45.58746009407574,0.9919356457471804,246.0,10000,46491,Yes
airplane,60,45.25618097129514,0.9916633801040076,235.0,11000,46491,Yes
airplane,60,44.92814364813903,0.9914785958655887,244.0,12000,46491,Yes
airplane,60,44.359758907098225,0.9902301087949695,285.0,13000,46491,Yes
airplane,60,44.01285079990746,0.9895210327745544,298.0,14000,46491,Yes
airplane,60,43.75713645293109,0.9891241404974731,305.0,15000,46491,Yes
airplane,70,59.45096451004066,0.9991299605188776,88.0,1000,55305,Yes
airplane,70,56.07492951307655,0.9981954006158043,131.0,2000,55305,Yes
airplane,70,53.883812738554724,0.9974165248804501,122.0,3000,55305,Yes
airplane,70,52.44110427813097,0.9968922265807669,159.0,4000,55305,Yes
airplane,70,51.28672314814199,0.9964942296070823,147.0,5000,55305,Yes
airplane,70,50.27611602385841,0.9961992494072437,159.0,6000,55305,Yes
airplane,70,49.44957269163239,0.9960071759731814,150.0,7000,55305,Yes
airplane,70,48.83054531955978,0.9956461157202375,172.0,8000,55305,Yes
airplane,70,48.37906478379821,0.994810345768474,225.0,9000,55305,Yes
airplane,70,48.03506555825117,0.9943561981664736,261.0,10000,55305,Yes
airplane,70,47.702208116853654,0.994024832499074,269.0,11000,55305,Yes
airplane,70,47.40457569453436,0.9938251978363765,276.0,12000,55305,Yes
airplane,70,47.120140851490135,0.9936828547133264,272.0,13000,55305,Yes
airplane,70,46.848346304756355,0.9935957852979466,254.0,14000,55305,Yes
airplane,70,46.29971980581733,0.9925901210634406,322.0,15000,55305,Yes
airplane,80,61.66264681529607,0.9994360782055756,90.0,1000,69516,Yes
airplane,80,58.41038404269136,0.9988449719079102,89.0,2000,69516,Yes
airplane,80,56.46159553311072,0.9983154693738625,117.0,3000,69516,Yes
airplane,80,55.10246654127436,0.9979177174832295,113.0,4000,69516,Yes
airplane,80,54.05079026187977,0.997645323286228,136.0,5000,69516,Yes
airplane,80,53.16785450569348,0.9974609968008277,110.0,6000,69516,Yes
airplane,80,52.40123965067198,0.9973267921257261,106.0,7000,69516,Yes
airplane,80,51.75169010746348,0.9972390430105347,100.0,8000,69516,Yes
airplane,80,51.244578167285596,0.9969517547686779,148.0,9000,69516,Yes
airplane,80,50.838543269744754,0.996392040737193,237.0,10000,69516,Yes
airplane,80,50.523759384791816,0.9960154819583622,261.0,11000,69516,Yes
airplane,80,50.19603232433575,0.995750471012071,241.0,12000,69516,Yes
airplane,80,49.88808126000844,0.9955635579520806,261.0,13000,69516,Yes
airplane,80,49.61801572194237,0.9954428784273045,225.0,14000,69516,Yes
airplane,80,49.36424966085482,0.9953681359145939,239.0,15000,69516,Yes
airplane,90,65.35788509992881,0.9997258997115849,21.0,1000,103851,Yes
airplane,90,62.190361189054215,0.9994532803018625,17.0,2000,103851,Yes
airplane,90,60.313718693042176,0.9991854849607582,44.0,3000,103851,Yes
airplane,90,59.08100055065234,0.9989552287060343,63.0,4000,103851,Yes
airplane,90,58.05939365990948,0.998742621729449,51.0,5000,103851,Yes
airplane,90,57.239802632563666,0.9985881137638685,60.0,6000,103851,Yes
airplane,90,56.52122500284748,0.9984817167084378,35.0,7000,103851,Yes
airplane,90,55.901660035665046,0.9984080665058279,29.0,8000,103851,Yes
airplane,90,55.337460818708486,0.9983551554904577,23.0,9000,103851,Yes
airplane,90,54.830989076588466,0.9983192807316247,35.0,10000,103851,Yes
airplane,90,54.45401410687896,0.9982202324608157,52.0,11000,103851,Yes
airplane,90,54.246945059358396,0.9980589844791534,90.0,12000,103851,Yes
airplane,90,54.031279506018436,0.9978936765373523,85.0,13000,103851,Yes
airplane,90,53.84195703856846,0.9977568780118082,88.0,14000,103851,Yes
airplane,90,53.67144801128543,0.9976430350365396,89.0,15000,103851,Yes
baboon,50,54.437066215574674,0.998483833930614,85.0,1000,94578,Yes
baboon,50,51.14120296857486,0.9973179602316997,92.0,2000,94578,Yes
baboon,50,49.10541991626839,0.9965104688944072,95.0,3000,94578,Yes
baboon,50,47.79747917666178,0.9960230872639279,128.0,4000,94578,Yes
baboon,50,46.711744147058056,0.9956403476920745,128.0,5000,94578,Yes
baboon,50,45.86979857337671,0.9953838860652591,122.0,6000,94578,Yes
baboon,50,45.15315543199611,0.9951874901603206,114.0,7000,94578,Yes
baboon,50,44.53011816339882,0.9950297786443224,132.0,8000,94578,Yes
baboon,50,43.973267703768755,0.9949021924638478,141.0,9000,94578,Yes
baboon,50,43.49011512426522,0.9943079394499236,198.0,10000,94578,Yes
baboon,50,43.17159178661197,0.9931012099182354,199.0,11000,94578,Yes
baboon,50,42.86064059798559,0.9922657098425863,225.0,12000,94578,Yes
baboon,50,42.58124358957325,0.9917549642811628,232.0,13000,94578,Yes
baboon,50,42.32599852187018,0.9914199295008326,214.0,14000,94578,Yes
baboon,50,42.07293502370929,0.9911781042153339,208.0,15000,94578,Yes
baboon,60,56.17947562272185,0.9989419125750141,54.0,1000,108879,Yes
baboon,60,52.78029704173526,0.9981246177660001,50.0,2000,108879,Yes
