Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success
airplane,50,53.0520580279905,0.9996713806165336,20.0,1000,39867,Yes
airplane,50,50.237678805678634,0.9991481234107668,28.0,2000,39867,Yes
airplane,50,48.54948448257456,0.9984223567371893,30.0,3000,39867,Yes
airplane,50,47.424256524221704,0.9974190843914714,41.0,4000,39867,Yes
airplane,50,46.58531587646862,0.9960859919497133,59.0,5000,39867,Yes
airplane,50,46.0030134067204,0.9941381988441025,109.0,6000,39867,Yes
airplane,50,45.43253860962253,0.9936385829495734,124.0,7000,39867,Yes
airplane,50,44.9230036132957,0.9932901298790063,117.0,8000,39867,Yes
airplane,50,44.4420090172967,0.9927389243455665,139.0,9000,39867,Yes
airplane,50,44.00440554908701,0.9918504386745189,146.0,10000,39867,Yes
airplane,50,43.500102622975405,0.9902975105248882,214.0,11000,39867,Yes
airplane,50,43.14683877452179,0.990046278033947,213.0,12000,39867,Yes
airplane,50,42.78928557420158,0.9895058801291162,219.0,13000,39867,Yes
airplane,50,42.455000309479686,0.9887597399095924,226.0,14000,39867,Yes
airplane,50,42.022961739891294,0.9872702052125137,269.0,15000,39867,Yes
airplane,60,54.86053673557173,0.9997760583203826,22.0,1000,46491,Yes
airplane,60,51.83411615795427,0.999387792297472,43.0,2000,46491,Yes
airplane,60,50.13583951618627,0.9988596525162889,37.0,3000,46491,Yes
airplane,60,49.01202450662414,0.9981503136592029,43.0,4000,46491,Yes
airplane,60,48.14765177214176,0.997187425271612,64.0,5000,46491,Yes
airplane,60,47.53962282410011,0.9957790406079471,90.0,6000,46491,Yes
airplane,60,47.05224137256718,0.9946736972062071,166.0,7000,46491,Yes
airplane,60,46.58900826456695,0.9945055017072487,159.0,8000,46491,Yes
airplane,60,46.161647460288904,0.9942156789701082,176.0,9000,46491,Yes
airplane,60,45.7770863541881,0.9938072976915869,163.0,10000,46491,Yes
airplane,60,45.40199271548196,0.9931291651193871,176.0,11000,46491,Yes
airplane,60,44.95028591113292,0.9919093213519983,213.0,12000,46491,Yes
airplane,60,44.615352201097586,0.9914271638515265,228.0,13000,46491,Yes
airplane,60,44.308138809979205,0.991131253659648,234.0,14000,46491,Yes
airplane,60,44.03109257531924,0.9907455133079316,245.0,15000,46491,Yes
airplane,70,57.16183601677873,0.9998700364797259,14.0,1000,55305,Yes
airplane,70,54.162152241228796,0.9996533567566536,20.0,2000,55305,Yes
airplane,70,52.443250244875756,0.9993429520516492,29.0,3000,55305,Yes
airplane,70,51.307467989169865,0.9989177930278662,46.0,4000,55305,Yes
airplane,70,50.45735473663494,0.9983415832252395,56.0,5000,55305,Yes
airplane,70,49.804202273473905,0.9975210369009216,94.0,6000,55305,Yes
airplane,70,49.297854171779804,0.9965973885044681,109.0,7000,55305,Yes
airplane,70,48.90777751741312,0.9958858791281789,155.0,8000,55305,Yes
airplane,70,48.48681568418136,0.9957817722939013,162.0,9000,55305,Yes
airplane,70,48.125720509482015,0.9956360990185519,137.0,10000,55305,Yes
airplane,70,47.79559239035877,0.9954180596183679,159.0,11000,55305,Yes
airplane,70,47.50653775830813,0.9951199361837888,152.0,12000,55305,Yes
airplane,70,47.14153860119196,0.9945437941086638,152.0,13000,55305,Yes
airplane,70,46.87176426181678,0.9937296122474302,245.0,14000,55305,Yes
airplane,70,46.603168264156984,0.9934594530230323,247.0,15000,55305,Yes
airplane,80,60.34670741845574,0.9999364727938745,21.0,1000,69516,Yes
airplane,80,57.264295913003885,0.9998372206980011,18.0,2000,69516,Yes
airplane,80,55.54807829914313,0.9996722388075585,15.0,3000,69516,Yes
airplane,80,54.322383739562255,0.9994345164261043,6.0,4000,69516,Yes
airplane,80,53.451295576470905,0.9991405927218189,12.0,5000,69516,Yes
airplane,80,52.702039351668404,0.9986701554091848,15.0,6000,69516,Yes
airplane,80,52.103110523110686,0.9980945892483899,73.0,7000,69516,Yes
airplane,80,51.60578232529039,0.9975025043252087,80.0,8000,69516,Yes
airplane,80,51.19927721365096,0.9971412550070246,112.0,9000,69516,Yes
airplane,80,50.863244076146515,0.9970925623893324,104.0,10000,69516,Yes
airplane,80,50.523356994139874,0.9970057863567432,126.0,11000,69516,Yes
airplane,80,50.22180338008421,0.9968786847179119,118.0,12000,69516,Yes
airplane,80,49.928242261399014,0.9966826081979755,117.0,13000,69516,Yes
airplane,80,49.637261140087276,0.9963709884671439,125.0,14000,69516,Yes
airplane,80,49.339866873913905,0.9958912806465974,148.0,15000,69516,Yes
airplane,90,64.61062807968577,0.9999754167223266,19.0,1000,103851,Yes
airplane,90,61.558908830786734,0.9999325373560563,-7.0,2000,103851,Yes
airplane,90,59.825198056366496,0.9998741063824265,11.0,3000,103851,Yes
airplane,90,58.56688728841384,0.9997885285542583,-19.0,4000,103851,Yes
airplane,90,57.61577495262358,0.9996645547337802,-11.0,5000,103851,Yes
airplane,90,56.832677229252354,0.9994815815059453,26.0,6000,103851,Yes
airplane,90,56.18751693979404,0.9992492956600023,-31.0,7000,103851,Yes
airplane,90,55.6084580319271,0.9989759042331177,-7.0,8000,103851,Yes
airplane,90,55.137335184118584,0.9987128997523221,13.0,9000,103851,Yes
airplane,90,54.742318466537895,0.9984492321358814,-6.0,10000,103851,Yes
airplane,90,54.453516783801064,0.9982942610942341,28.0,11000,103851,Yes
airplane,90,54.24559042902332,0.9982789556983515,44.0,12000,103851,Yes
airplane,90,54.03947368308802,0.9982520244914135,16.0,13000,103851,Yes
airplane,90,53.85939438582074,0.9982156551079282,35.0,14000,103851,Yes
airplane,90,53.68648569749338,0.9981627823338624,-20.0,15000,103851,Yes
baboon,50,52.920760714651685,0.9998784814521711,24.0,1000,94578,Yes
baboon,50,50.02171389222977,0.999743180922597,46.0,2000,94578,Yes
baboon,50,48.31151371602083,0.9995691681758755,61.0,3000,94578,Yes
baboon,50,47.08399448252979,0.9993452718331521,60.0,4000,94578,Yes
