Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success,,,
airplane,50,53.05205803,0.999671381,20,1000,23124,Yes,,QF,
airplane,50,50.23767881,0.999148123,28,2000,23124,Yes,,50,36848.33333
airplane,50,48.54948448,0.998422357,30,3000,23124,Yes,,60,43902.33333
airplane,50,47.42425652,0.997419084,41,4000,23124,Yes,,70,54082.66667
airplane,50,46.58531588,0.996085992,59,5000,23124,Yes,,80,70158.66667
airplane,50,46.00301341,0.994138199,109,6000,23124,Yes,,90,107814.3333
airplane,50,45.43253861,0.993638583,124,7000,23124,Yes,,100,
airplane,50,44.92300361,0.99329013,117,8000,23124,Yes,,,
airplane,50,44.44200902,0.992738924,139,9000,23124,Yes,,,
airplane,50,44.00440555,0.991850439,146,10000,23124,Yes,,,
airplane,50,43.50010262,0.990297511,214,11000,23124,Yes,,,
airplane,50,43.14683877,0.990046278,213,12000,23124,Yes,,,
airplane,50,42.78928557,0.98950588,219,13000,23124,Yes,,,
airplane,50,42.45500031,0.98875974,226,14000,23124,Yes,,,
airplane,50,42.02296174,0.987270205,269,15000,23124,Yes,,,
airplane,60,54.86053674,0.999776058,22,1000,27568,Yes,,,
airplane,60,51.83411616,0.999387792,43,2000,27568,Yes,,,
airplane,60,50.13583952,0.998859653,37,3000,27568,Yes,,,
airplane,60,49.01202451,0.998150314,43,4000,27568,Yes,,,
airplane,60,48.14765177,0.997187425,64,5000,27568,Yes,,,
airplane,60,47.53962282,0.995779041,90,6000,27568,Yes,,,
airplane,60,47.05224137,0.994673697,166,7000,27568,Yes,,,
airplane,60,46.58900826,0.994505502,159,8000,27568,Yes,,,
airplane,60,46.16164746,0.994215679,176,9000,27568,Yes,,,
airplane,60,45.77708635,0.993807298,163,10000,27568,Yes,,,
airplane,60,45.40199272,0.993129165,176,11000,27568,Yes,,,
airplane,60,44.95028591,0.991909321,213,12000,27568,Yes,,,
airplane,60,44.6153522,0.991427164,228,13000,27568,Yes,,,
airplane,60,44.30813881,0.991131254,234,14000,27568,Yes,,,
airplane,60,44.03109258,0.990745513,245,15000,27568,Yes,,,
airplane,70,57.16183602,0.999870036,14,1000,34076,Yes,,,
airplane,70,54.16215224,0.999653357,20,2000,34076,Yes,,,
airplane,70,52.44325024,0.999342952,29,3000,34076,Yes,,,
airplane,70,51.30746799,0.998917793,46,4000,34076,Yes,,,
airplane,70,50.45735474,0.998341583,56,5000,34076,Yes,,,
airplane,70,49.80420227,0.997521037,94,6000,34076,Yes,,,
airplane,70,49.29785417,0.996597389,109,7000,34076,Yes,,,
airplane,70,48.90777752,0.995885879,155,8000,34076,Yes,,,
airplane,70,48.48681568,0.995781772,162,9000,34076,Yes,,,
airplane,70,48.12572051,0.995636099,137,10000,34076,Yes,,,
airplane,70,47.79559239,0.99541806,159,11000,34076,Yes,,,
airplane,70,47.50653776,0.995119936,152,12000,34076,Yes,,,
airplane,70,47.1415386,0.994543794,152,13000,34076,Yes,,,
airplane,70,46.87176426,0.993729612,245,14000,34076,Yes,,,
airplane,70,46.60316826,0.993459453,247,15000,34076,Yes,,,
airplane,80,60.34670742,0.999936473,21,1000,44380,Yes,,,
airplane,80,57.26429591,0.999837221,18,2000,44380,Yes,,,
airplane,80,55.5480783,0.999672239,15,3000,44380,Yes,,,
airplane,80,54.32238374,0.999434516,6,4000,44380,Yes,,,
airplane,80,53.45129558,0.999140593,12,5000,44380,Yes,,,
airplane,80,52.70203935,0.998670155,15,6000,44380,Yes,,,
airplane,80,52.10311052,0.998094589,73,7000,44380,Yes,,,
airplane,80,51.60578233,0.997502504,80,8000,44380,Yes,,,
airplane,80,51.19927721,0.997141255,112,9000,44380,Yes,,,
airplane,80,50.86324408,0.997092562,104,10000,44380,Yes,,,
airplane,80,50.52335699,0.997005786,126,11000,44380,Yes,,,
airplane,80,50.22180338,0.996878685,118,12000,44380,Yes,,,
airplane,80,49.92824226,0.996682608,117,13000,44380,Yes,,,
airplane,80,49.63726114,0.996370988,125,14000,44380,Yes,,,
airplane,80,49.33986687,0.995891281,148,15000,44380,Yes,,,
airplane,90,64.61062808,0.999975417,19,1000,70654,Yes,,,
airplane,90,61.55890883,0.999932537,-7,2000,70654,Yes,,,
airplane,90,59.82519806,0.999874106,11,3000,70654,Yes,,,
airplane,90,58.56688729,0.999788529,-19,4000,70654,Yes,,,
airplane,90,57.61577495,0.999664555,-11,5000,70654,Yes,,,
airplane,90,56.83267723,0.999481582,26,6000,70654,Yes,,,
airplane,90,56.18751694,0.999249296,-31,7000,70654,Yes,,,
airplane,90,55.60845803,0.998975904,-7,8000,70654,Yes,,,
airplane,90,55.13733518,0.9987129,13,9000,70654,Yes,,,
airplane,90,54.74231847,0.998449232,-6,10000,70654,Yes,,,
airplane,90,54.45351678,0.998294261,28,11000,70654,Yes,,,
airplane,90,54.24559043,0.998278956,44,12000,70654,Yes,,,
