Image,Quality,Payload,PSNR,SSIM,FSI,Max EC,Success,,Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success,,PSNR DESC,PSNR ASC,SELISIH,,SSIM DESC,SSIM ASC,SELISIH
airplane,50,1000,55.34713729,0.998141313,86,39867,Yes,,airplane,50,53.05205803,0.999671381,20,1000,39867,Yes,,55.34713729,53.05205803,2.295079256,,0.998141313,0.999671381,-0.001530068
airplane,50,2000,51.8023234,0.996825015,90,39867,Yes,,airplane,50,50.23767881,0.999148123,28,2000,39867,Yes,,51.8023234,50.23767881,1.564644591,,0.996825015,0.999148123,-0.002323108
airplane,50,3000,49.66196287,0.995792586,98,39867,Yes,,airplane,50,48.54948448,0.998422357,30,3000,39867,Yes,,49.66196287,48.54948448,1.112478389,,0.995792586,0.998422357,-0.002629771
airplane,50,4000,48.21881537,0.995088803,92,39867,Yes,,airplane,50,47.42425652,0.997419084,41,4000,39867,Yes,,48.21881537,47.42425652,0.794558851,,0.995088803,0.997419084,-0.002330281
airplane,50,5000,47.03678627,0.994565393,103,39867,Yes,,airplane,50,46.58531588,0.996085992,59,5000,39867,Yes,,47.03678627,46.58531588,0.451470386,,0.994565393,0.996085992,-0.001520599
airplane,50,6000,46.1136864,0.994241069,106,39867,Yes,,airplane,50,46.00301341,0.994138199,109,6000,39867,Yes,,46.1136864,46.00301341,0.110672987,,0.994241069,0.994138199,0.00010287
airplane,50,7000,45.25643737,0.992558637,152,39867,Yes,,airplane,50,45.43253861,0.993638583,124,7000,39867,Yes,,45.25643737,45.43253861,-0.17610124,,0.992558637,0.993638583,-0.001079946
airplane,50,8000,44.75717999,0.991772373,162,39867,Yes,,airplane,50,44.92300361,0.99329013,117,8000,39867,Yes,,44.75717999,44.92300361,-0.165823621,,0.991772373,0.99329013,-0.001517757
airplane,50,9000,44.31635663,0.991252379,167,39867,Yes,,airplane,50,44.44200902,0.992738924,139,9000,39867,Yes,,44.31635663,44.44200902,-0.12565239,,0.991252379,0.992738924,-0.001486545
airplane,50,10000,43.91926713,0.990905467,154,39867,Yes,,airplane,50,44.00440555,0.991850439,146,10000,39867,Yes,,43.91926713,44.00440555,-0.085138421,,0.990905467,0.991850439,-0.000944972
airplane,50,11000,43.48095118,0.990394708,173,39867,Yes,,airplane,50,43.50010262,0.990297511,214,11000,39867,Yes,,43.48095118,43.50010262,-0.019151437,,0.990394708,0.990297511,9.71967E-05
airplane,50,12000,42.98405907,0.989099985,222,39867,Yes,,airplane,50,43.14683877,0.990046278,213,12000,39867,Yes,,42.98405907,43.14683877,-0.162779703,,0.989099985,0.990046278,-0.000946293
airplane,50,13000,42.63931932,0.988449324,231,39867,Yes,,airplane,50,42.78928557,0.98950588,219,13000,39867,Yes,,42.63931932,42.78928557,-0.149966246,,0.988449324,0.98950588,-0.001056556
airplane,50,14000,42.32524991,0.988006383,244,39867,Yes,,airplane,50,42.45500031,0.98875974,226,14000,39867,Yes,,42.32524991,42.45500031,-0.129750397,,0.988006383,0.98875974,-0.000753357
airplane,50,15000,41.98982587,0.987402206,255,39867,Yes,,airplane,50,42.02296174,0.987270205,269,15000,39867,Yes,,41.98982587,42.02296174,-0.033135865,,0.987402206,0.987270205,0.000132001
airplane,60,1000,56.76320228,0.998517903,88,46491,Yes,,airplane,60,54.86053674,0.999776058,22,1000,46491,Yes,,56.76320228,54.86053674,1.902665541,,0.998517903,0.999776058,-0.001258155
airplane,60,2000,53.50652429,0.997211442,124,46491,Yes,,airplane,60,51.83411616,0.999387792,43,2000,46491,Yes,,53.50652429,51.83411616,1.672408131,,0.997211442,0.999387792,-0.00217635
airplane,60,3000,51.42128477,0.996308531,136,46491,Yes,,airplane,60,50.13583952,0.998859653,37,3000,46491,Yes,,51.42128477,50.13583952,1.285445254,,0.996308531,0.998859653,-0.002551122
airplane,60,4000,49.84329665,0.995603093,151,46491,Yes,,airplane,60,49.01202451,0.998150314,43,4000,46491,Yes,,49.84329665,49.01202451,0.831272139,,0.995603093,0.998150314,-0.002547221
airplane,60,5000,48.67155592,0.99510761,147,46491,Yes,,airplane,60,48.14765177,0.997187425,64,5000,46491,Yes,,48.67155592,48.14765177,0.523904151,,0.99510761,0.997187425,-0.002079815
airplane,60,6000,47.71299879,0.994735804,131,46491,Yes,,airplane,60,47.53962282,0.995779041,90,6000,46491,Yes,,47.71299879,47.53962282,0.173375974,,0.994735804,0.995779041,-0.001043237
airplane,60,7000,47.01398806,0.99433049,150,46491,Yes,,airplane,60,47.05224137,0.994673697,166,7000,46491,Yes,,47.01398806,47.05224137,-0.038253306,,0.99433049,0.994673697,-0.000343207
airplane,60,8000,46.38222333,0.993022206,230,46491,Yes,,airplane,60,46.58900826,0.994505502,159,8000,46491,Yes,,46.38222333,46.58900826,-0.206784931,,0.993022206,0.994505502,-0.001483296
airplane,60,9000,45.96080242,0.992351715,238,46491,Yes,,airplane,60,46.16164746,0.994215679,176,9000,46491,Yes,,45.96080242,46.16164746,-0.200845038,,0.992351715,0.994215679,-0.001863964
airplane,60,10000,45.58746009,0.991935646,246,46491,Yes,,airplane,60,45.77708635,0.993807298,163,10000,46491,Yes,,45.58746009,45.77708635,-0.189626256,,0.991935646,0.993807298,-0.001871652
airplane,60,11000,45.25618097,0.99166338,235,46491,Yes,,airplane,60,45.40199272,0.993129165,176,11000,46491,Yes,,45.25618097,45.40199272,-0.145811749,,0.99166338,0.993129165,-0.001465785
airplane,60,12000,44.92814365,0.991478596,244,46491,Yes,,airplane,60,44.95028591,0.991909321,213,12000,46491,Yes,,44.92814365,44.95028591,-0.022142262,,0.991478596,0.991909321,-0.000430725
airplane,60,13000,44.35975891,0.990230109,285,46491,Yes,,airplane,60,44.6153522,0.991427164,228,13000,46491,Yes,,44.35975891,44.6153522,-0.255593293,,0.990230109,0.991427164,-0.001197055
airplane,60,14000,44.0128508,0.989521033,298,46491,Yes,,airplane,60,44.30813881,0.991131254,234,14000,46491,Yes,,44.0128508,44.30813881,-0.29528801,,0.989521033,0.991131254,-0.001610221
airplane,60,15000,43.75713645,0.98912414,305,46491,Yes,,airplane,60,44.03109258,0.990745513,245,15000,46491,Yes,,43.75713645,44.03109258,-0.273956127,,0.98912414,0.990745513,-0.001621373
airplane,70,1000,59.45096451,0.999129961,88,55305,Yes,,airplane,70,57.16183602,0.999870036,14,1000,55305,Yes,,59.45096451,57.16183602,2.28912849,,0.999129961,0.999870036,-0.000740075
airplane,70,2000,56.07492951,0.998195401,131,55305,Yes,,airplane,70,54.16215224,0.999653357,20,2000,55305,Yes,,56.07492951,54.16215224,1.912777273,,0.998195401,0.999653357,-0.001457956
airplane,70,3000,53.88381274,0.997416525,122,55305,Yes,,airplane,70,52.44325024,0.999342952,29,3000,55305,Yes,,53.88381274,52.44325024,1.440562499,,0.997416525,0.999342952,-0.001926427
airplane,70,4000,52.44110428,0.996892227,159,55305,Yes,,airplane,70,51.30746799,0.998917793,46,4000,55305,Yes,,52.44110428,51.30746799,1.133636288,,0.996892227,0.998917793,-0.002025566
airplane,70,5000,51.28672315,0.99649423,147,55305,Yes,,airplane,70,50.45735474,0.998341583,56,5000,55305,Yes,,51.28672315,50.45735474,0.829368408,,0.99649423,0.998341583,-0.001847353
airplane,70,6000,50.27611602,0.996199249,159,55305,Yes,,airplane,70,49.80420227,0.997521037,94,6000,55305,Yes,,50.27611602,49.80420227,0.471913754,,0.996199249,0.997521037,-0.001321788
airplane,70,7000,49.44957269,0.996007176,150,55305,Yes,,airplane,70,49.29785417,0.996597389,109,7000,55305,Yes,,49.44957269,49.29785417,0.151718522,,0.996007176,0.996597389,-0.000590213
airplane,70,8000,48.83054532,0.995646116,172,55305,Yes,,airplane,70,48.90777752,0.995885879,155,8000,55305,Yes,,48.83054532,48.90777752,-0.0772322,,0.995646116,0.995885879,-0.000239763
airplane,70,9000,48.37906478,0.994810346,225,55305,Yes,,airplane,70,48.48681568,0.995781772,162,9000,55305,Yes,,48.37906478,48.48681568,-0.107750896,,0.994810346,0.995781772,-0.000971426
airplane,70,10000,48.03506556,0.994356198,261,55305,Yes,,airplane,70,48.12572051,0.995636099,137,10000,55305,Yes,,48.03506556,48.12572051,-0.090654952,,0.994356198,0.995636099,-0.001279901
airplane,70,11000,47.70220812,0.994024832,269,55305,Yes,,airplane,70,47.79559239,0.99541806,159,11000,55305,Yes,,47.70220812,47.79559239,-0.093384273,,0.994024832,0.99541806,-0.001393228
airplane,70,12000,47.40457569,0.993825198,276,55305,Yes,,airplane,70,47.50653776,0.995119936,152,12000,55305,Yes,,47.40457569,47.50653776,-0.101962065,,0.993825198,0.995119936,-0.001294738
airplane,70,13000,47.12014085,0.993682855,272,55305,Yes,,airplane,70,47.1415386,0.994543794,152,13000,55305,Yes,,47.12014085,47.1415386,-0.021397749,,0.993682855,0.994543794,-0.000860939
airplane,70,14000,46.8483463,0.993595785,254,55305,Yes,,airplane,70,46.87176426,0.993729612,245,14000,55305,Yes,,46.8483463,46.87176426,-0.023417955,,0.993595785,0.993729612,-0.000133827
airplane,70,15000,46.29971981,0.992590121,322,55305,Yes,,airplane,70,46.60316826,0.993459453,247,15000,55305,Yes,,46.29971981,46.60316826,-0.303448454,,0.992590121,0.993459453,-0.000869332
airplane,80,1000,61.66264682,0.999436078,90,69516,Yes,,airplane,80,60.34670742,0.999936473,21,1000,69516,Yes,,61.66264682,60.34670742,1.315939395,,0.999436078,0.999936473,-0.000500395
airplane,80,2000,58.41038404,0.998844972,89,69516,Yes,,airplane,80,57.26429591,0.999837221,18,2000,69516,Yes,,58.41038404,57.26429591,1.146088133,,0.998844972,0.999837221,-0.000992249
airplane,80,3000,56.46159553,0.998315469,117,69516,Yes,,airplane,80,55.5480783,0.999672239,15,3000,69516,Yes,,56.46159553,55.5480783,0.913517233,,0.998315469,0.999672239,-0.00135677
airplane,80,4000,55.10246654,0.997917717,113,69516,Yes,,airplane,80,54.32238374,0.999434516,6,4000,69516,Yes,,55.10246654,54.32238374,0.780082801,,0.997917717,0.999434516,-0.001516799
airplane,80,5000,54.05079026,0.997645323,136,69516,Yes,,airplane,80,53.45129558,0.999140593,12,5000,69516,Yes,,54.05079026,53.45129558,0.599494682,,0.997645323,0.999140593,-0.00149527
airplane,80,6000,53.16785451,0.997460997,110,69516,Yes,,airplane,80,52.70203935,0.998670155,15,6000,69516,Yes,,53.16785451,52.70203935,0.465815156,,0.997460997,0.998670155,-0.001209158
airplane,80,7000,52.40123965,0.997326792,106,69516,Yes,,airplane,80,52.10311052,0.998094589,73,7000,69516,Yes,,52.40123965,52.10311052,0.298129131,,0.997326792,0.998094589,-0.000767797
airplane,80,8000,51.75169011,0.997239043,100,69516,Yes,,airplane,80,51.60578233,0.997502504,80,8000,69516,Yes,,51.75169011,51.60578233,0.145907777,,0.997239043,0.997502504,-0.000263461
airplane,80,9000,51.24457817,0.996951755,148,69516,Yes,,airplane,80,51.19927721,0.997141255,112,9000,69516,Yes,,51.24457817,51.19927721,0.045300957,,0.996951755,0.997141255,-0.0001895
airplane,80,10000,50.83854327,0.996392041,237,69516,Yes,,airplane,80,50.86324408,0.997092562,104,10000,69516,Yes,,50.83854327,50.86324408,-0.02470081,,0.996392041,0.997092562,-0.000700521
airplane,80,11000,50.52375938,0.996015482,261,69516,Yes,,airplane,80,50.52335699,0.997005786,126,11000,69516,Yes,,50.52375938,50.52335699,0.000402395,,0.996015482,0.997005786,-0.000990304
airplane,80,12000,50.19603232,0.995750471,241,69516,Yes,,airplane,80,50.22180338,0.996878685,118,12000,69516,Yes,,50.19603232,50.22180338,-0.025771056,,0.995750471,0.996878685,-0.001128214
airplane,80,13000,49.88808126,0.995563558,261,69516,Yes,,airplane,80,49.92824226,0.996682608,117,13000,69516,Yes,,49.88808126,49.92824226,-0.040161,,0.995563558,0.996682608,-0.00111905
airplane,80,14000,49.61801572,0.995442878,225,69516,Yes,,airplane,80,49.63726114,0.996370988,125,14000,69516,Yes,,49.61801572,49.63726114,-0.019245418,,0.995442878,0.996370988,-0.00092811
airplane,80,15000,49.36424966,0.995368136,239,69516,Yes,,airplane,80,49.33986687,0.995891281,148,15000,69516,Yes,,49.36424966,49.33986687,0.024382791,,0.995368136,0.995891281,-0.000523145
airplane,90,1000,65.3578851,0.9997259,21,103851,Yes,,airplane,90,64.61062808,0.999975417,19,1000,103851,Yes,,65.3578851,64.61062808,0.74725702,,0.9997259,0.999975417,-0.000249517
airplane,90,2000,62.19036119,0.99945328,17,103851,Yes,,airplane,90,61.55890883,0.999932537,-7,2000,103851,Yes,,62.19036119,61.55890883,0.631452359,,0.99945328,0.999932537,-0.000479257
airplane,90,3000,60.31371869,0.999185485,44,103851,Yes,,airplane,90,59.82519806,0.999874106,11,3000,103851,Yes,,60.31371869,59.82519806,0.488520633,,0.999185485,0.999874106,-0.000688621
airplane,90,4000,59.08100055,0.998955229,63,103851,Yes,,airplane,90,58.56688729,0.999788529,-19,4000,103851,Yes,,59.08100055,58.56688729,0.514113261,,0.998955229,0.999788529,-0.0008333
airplane,90,5000,58.05939366,0.998742622,51,103851,Yes,,airplane,90,57.61577495,0.999664555,-11,5000,103851,Yes,,58.05939366,57.61577495,0.44361871,,0.998742622,0.999664555,-0.000921933
airplane,90,6000,57.23980263,0.998588114,60,103851,Yes,,airplane,90,56.83267723,0.999481582,26,6000,103851,Yes,,57.23980263,56.83267723,0.407125403,,0.998588114,0.999481582,-0.000893468
airplane,90,7000,56.521225,0.998481717,35,103851,Yes,,airplane,90,56.18751694,0.999249296,-31,7000,103851,Yes,,56.521225,56.18751694,0.333708063,,0.998481717,0.999249296,-0.000767579
airplane,90,8000,55.90166004,0.998408067,29,103851,Yes,,airplane,90,55.60845803,0.998975904,-7,8000,103851,Yes,,55.90166004,55.60845803,0.293202006,,0.998408067,0.998975904,-0.000567837
airplane,90,9000,55.33746082,0.998355155,23,103851,Yes,,airplane,90,55.13733518,0.9987129,13,9000,103851,Yes,,55.33746082,55.13733518,0.200125639,,0.998355155,0.9987129,-0.000357745
airplane,90,10000,54.83098908,0.998319281,35,103851,Yes,,airplane,90,54.74231847,0.998449232,-6,10000,103851,Yes,,54.83098908,54.74231847,0.088670607,,0.998319281,0.998449232,-0.000129951
airplane,90,11000,54.45401411,0.998220232,52,103851,Yes,,airplane,90,54.45351678,0.998294261,28,11000,103851,Yes,,54.45401411,54.45351678,0.000497327,,0.998220232,0.998294261,-7.40285E-05
airplane,90,12000,54.24694506,0.998058984,90,103851,Yes,,airplane,90,54.24559043,0.998278956,44,12000,103851,Yes,,54.24694506,54.24559043,0.001354629,,0.998058984,0.998278956,-0.000219972
airplane,90,13000,54.03127951,0.997893677,85,103851,Yes,,airplane,90,54.03947368,0.998252024,16,13000,103851,Yes,,54.03127951,54.03947368,-0.008194174,,0.997893677,0.998252024,-0.000358347
airplane,90,14000,53.84195704,0.997756878,88,103851,Yes,,airplane,90,53.85939439,0.998215655,35,14000,103851,Yes,,53.84195704,53.85939439,-0.017437351,,0.997756878,0.998215655,-0.000458777
airplane,90,15000,53.67144801,0.997643035,89,103851,Yes,,airplane,90,53.6864857,0.998162782,-20,15000,103851,Yes,,53.67144801,53.6864857,-0.015037689,,0.997643035,0.998162782,-0.000519747
baboon,50,1000,54.43706622,0.998483834,85,94578,Yes,,baboon,50,52.92076071,0.999878481,24,1000,94578,Yes,,54.43706622,52.92076071,1.516305506,,0.998483834,0.999878481,-0.001394647
baboon,50,2000,51.14120297,0.99731796,92,94578,Yes,,baboon,50,50.02171389,0.999743181,46,2000,94578,Yes,,51.14120297,50.02171389,1.119489079,,0.99731796,0.999743181,-0.002425221
baboon,50,3000,49.10541992,0.996510469,95,94578,Yes,,baboon,50,48.31151372,0.999569168,61,3000,94578,Yes,,49.10541992,48.31151372,0.793906196,,0.996510469,0.999569168,-0.003058699
baboon,50,4000,47.79747918,0.996023087,128,94578,Yes,,baboon,50,47.08399448,0.999345272,60,4000,94578,Yes,,47.79747918,47.08399448,0.713484697,,0.996023087,0.999345272,-0.003322185
baboon,50,5000,46.71174415,0.995640348,128,94578,Yes,,baboon,50,46.16807404,0.99905601,45,5000,94578,Yes,,46.71174415,46.16807404,0.543670107,,0.995640348,0.99905601,-0.003415662
baboon,50,6000,45.86979857,0.995383886,122,94578,Yes,,baboon,50,45.42756604,0.998647217,65,6000,94578,Yes,,45.86979857,45.42756604,0.442232533,,0.995383886,0.998647217,-0.003263331
baboon,50,7000,45.15315543,0.99518749,114,94578,Yes,,baboon,50,44.75857444,0.998027861,67,7000,94578,Yes,,45.15315543,44.75857444,0.394580992,,0.99518749,0.998027861,-0.002840371
baboon,50,8000,44.53011816,0.995029779,132,94578,Yes,,baboon,50,44.24019642,0.997126186,102,8000,94578,Yes,,44.53011816,44.24019642,0.289921743,,0.995029779,0.997126186,-0.002096407
baboon,50,9000,43.9732677,0.994902192,141,94578,Yes,,baboon,50,43.8291094,0.995933168,111,9000,94578,Yes,,43.9732677,43.8291094,0.144158304,,0.994902192,0.995933168,-0.001030976
baboon,50,10000,43.49011512,0.994307939,198,94578,Yes,,baboon,50,43.48486566,0.994708456,133,10000,94578,Yes,,43.49011512,43.48486566,0.005249464,,0.994307939,0.994708456,-0.000400517
baboon,50,11000,43.17159179,0.99310121,199,94578,Yes,,baboon,50,43.15242145,0.994619525,128,11000,94578,Yes,,43.17159179,43.15242145,0.019170337,,0.99310121,0.994619525,-0.001518315
baboon,50,12000,42.8606406,0.99226571,225,94578,Yes,,baboon,50,42.85106121,0.994511763,130,12000,94578,Yes,,42.8606406,42.85106121,0.009579388,,0.99226571,0.994511763,-0.002246053
baboon,50,13000,42.58124359,0.991754964,232,94578,Yes,,baboon,50,42.54934738,0.994364424,130,13000,94578,Yes,,42.58124359,42.54934738,0.03189621,,0.991754964,0.994364424,-0.00260946
baboon,50,14000,42.32599852,0.99141993,214,94578,Yes,,baboon,50,42.29223955,0.994195043,130,14000,94578,Yes,,42.32599852,42.29223955,0.033758972,,0.99141993,0.994195043,-0.002775113
baboon,50,15000,42.07293502,0.991178104,208,94578,Yes,,baboon,50,42.03795861,0.993949574,143,15000,94578,Yes,,42.07293502,42.03795861,0.034976414,,0.991178104,0.993949574,-0.00277147
baboon,60,1000,56.17947562,0.998941913,54,108879,Yes,,baboon,60,54.68319601,0.999921794,8,1000,108879,Yes,,56.17947562,54.68319601,1.496279613,,0.998941913,0.999921794,-0.000979881
baboon,60,2000,52.78029704,0.998124618,50,108879,Yes,,baboon,60,51.85671745,0.999831864,12,2000,108879,Yes,,52.78029704,51.85671745,0.923579592,,0.998124618,0.999831864,-0.001707246
baboon,60,3000,50.67434038,0.99747885,73,108879,Yes,,baboon,60,50.09052069,0.999716963,28,3000,108879,Yes,,50.67434038,50.09052069,0.583819687,,0.99747885,0.999716963,-0.002238113
baboon,60,4000,49.39091755,0.997109671,68,108879,Yes,,baboon,60,48.84104878,0.999570291,49,4000,108879,Yes,,49.39091755,48.84104878,0.54986877,,0.997109671,0.999570291,-0.00246062
baboon,60,5000,48.33324299,0.996838484,68,108879,Yes,,baboon,60,47.87642667,0.999382729,45,5000,108879,Yes,,48.33324299,47.87642667,0.456816316,,0.996838484,0.999382729,-0.002544245
baboon,60,6000,47.49448709,0.996663048,89,108879,Yes,,baboon,60,47.10844698,0.999101715,44,6000,108879,Yes,,47.49448709,47.10844698,0.38604011,,0.996663048,0.999101715,-0.002438667
baboon,60,7000,46.77048754,0.996524397,100,108879,Yes,,baboon,60,46.44251726,0.99868836,57,7000,108879,Yes,,46.77048754,46.44251726,0.32797028,,0.996524397,0.99868836,-0.002163963
baboon,60,8000,46.14293819,0.996409079,112,108879,Yes,,baboon,60,45.89630877,0.998100826,64,8000,108879,Yes,,46.14293819,45.89630877,0.246629418,,0.996409079,0.998100826,-0.001691747
