Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success
baboon_rgb,50,52.92260800084813,0.9998785303199974,18.0,1000,94578,Yes
baboon_rgb,50,50.02342980818851,0.9997432593443364,-5.0,2000,94578,Yes
baboon_rgb,50,48.31312020840401,0.9995693290663769,19.0,3000,94578,Yes
baboon_rgb,50,47.085556992675336,0.999345465389349,16.0,4000,94578,Yes
baboon_rgb,50,46.16982455986913,0.9990563319961737,10.0,5000,94578,Yes
baboon_rgb,50,45.42985146854189,0.9986482917293089,21.0,6000,94578,Yes
baboon_rgb,50,44.76161634918992,0.9980304041966487,71.0,7000,94578,Yes
baboon_rgb,50,44.24450025849345,0.9971328442071932,62.0,8000,94578,Yes
baboon_rgb,50,43.83413301599881,0.9959425342225956,88.0,9000,94578,Yes
baboon_rgb,50,43.49068993603878,0.9947228641101493,107.0,10000,94578,Yes
baboon_rgb,50,43.157963864668226,0.9946339647527251,125.0,11000,94578,Yes
baboon_rgb,50,42.85631053474492,0.9945262273572497,144.0,12000,94578,Yes
baboon_rgb,50,42.554313023592115,0.9943789299969471,86.0,13000,94578,Yes
baboon_rgb,50,42.2969541869617,0.9942096246313954,132.0,14000,94578,Yes
baboon_rgb,50,42.04268228322232,0.9939645611317559,118.0,15000,94578,Yes
baboon_rgb,60,54.685818313716005,0.9999218395812473,15.0,1000,108879,Yes
baboon_rgb,60,51.85843683722077,0.9998319137286448,29.0,2000,108879,Yes
baboon_rgb,60,50.09169150419343,0.9997170122499711,46.0,3000,108879,Yes
baboon_rgb,60,48.842161021938054,0.9995703656124367,32.0,4000,108879,Yes
baboon_rgb,60,47.87739549975069,0.9993828118270028,19.0,5000,108879,Yes
baboon_rgb,60,47.109494477567324,0.9991018174065227,63.0,6000,108879,Yes
baboon_rgb,60,46.443842713842194,0.9986886339093313,78.0,7000,108879,Yes
baboon_rgb,60,45.89831967851178,0.998102305027684,61.0,8000,108879,Yes
baboon_rgb,60,45.417229937960755,0.9972202527407702,77.0,9000,108879,Yes
baboon_rgb,60,45.06343412700495,0.9961810623858871,130.0,10000,108879,Yes
baboon_rgb,60,44.73354259279452,0.996030931292103,119.0,11000,108879,Yes
baboon_rgb,60,44.45771029084631,0.9959666026005608,101.0,12000,108879,Yes
baboon_rgb,60,44.1798259283632,0.9958847307180264,120.0,13000,108879,Yes
baboon_rgb,60,43.90836289481436,0.9957765012083349,81.0,14000,108879,Yes
baboon_rgb,60,43.66743883593651,0.9956444494564454,142.0,15000,108879,Yes
baboon_rgb,70,57.20459118971455,0.9999545858887922,71.0,1000,127848,Yes
baboon_rgb,70,54.14498027066859,0.9998996978435924,20.0,2000,127848,Yes
baboon_rgb,70,52.33670642225138,0.9998273185904749,24.0,3000,127848,Yes
baboon_rgb,70,51.17676930512735,0.9997489423265065,70.0,4000,127848,Yes
baboon_rgb,70,50.19669873293051,0.9996405730903168,39.0,5000,127848,Yes
baboon_rgb,70,49.45107677289934,0.9994923386378772,37.0,6000,127848,Yes
baboon_rgb,70,48.78342793931792,0.9992580478321118,67.0,7000,127848,Yes
baboon_rgb,70,48.25886424126951,0.9989480245841313,79.0,8000,127848,Yes
baboon_rgb,70,47.77873976049182,0.9985011950494503,66.0,9000,127848,Yes
baboon_rgb,70,47.39116915763872,0.9978852197757779,111.0,10000,127848,Yes
baboon_rgb,70,47.064756643423884,0.9974325506433689,144.0,11000,127848,Yes
baboon_rgb,70,46.800800195322026,0.9974005829129624,97.0,12000,127848,Yes
baboon_rgb,70,46.558702981015465,0.9973655633906385,103.0,13000,127848,Yes
baboon_rgb,70,46.324918798430744,0.9973197053524007,80.0,14000,127848,Yes
baboon_rgb,70,46.11808246970781,0.9972667363951446,104.0,15000,127848,Yes
baboon_rgb,80,60.382452022038734,0.9999780745615049,21.0,1000,158055,Yes
baboon_rgb,80,57.46481144355307,0.9999531715316062,37.0,2000,158055,Yes
baboon_rgb,80,55.741150625101454,0.99992237859049,53.0,3000,158055,Yes
baboon_rgb,80,54.47688132481276,0.9998837556252737,55.0,4000,158055,Yes
baboon_rgb,80,53.47317814110802,0.9998344470043923,43.0,5000,158055,Yes
baboon_rgb,80,52.67341791165557,0.9997661554913445,25.0,6000,158055,Yes
baboon_rgb,80,52.00223938583072,0.9996700897528324,9.0,7000,158055,Yes
baboon_rgb,80,51.42100204599187,0.9995333997348242,-10.0,8000,158055,Yes
baboon_rgb,80,50.92891395620546,0.999331035092083,46.0,9000,158055,Yes
baboon_rgb,80,50.4946251648479,0.9990518330449043,71.0,10000,158055,Yes
baboon_rgb,80,50.127593100136494,0.9986788202793302,57.0,11000,158055,Yes
baboon_rgb,80,49.828062319420894,0.9986509870030104,40.0,12000,158055,Yes
baboon_rgb,80,49.550987385409,0.9986318897914112,109.0,13000,158055,Yes
baboon_rgb,80,49.29306674300359,0.9986080624868257,59.0,14000,158055,Yes
baboon_rgb,80,49.03769086486042,0.998578410564515,69.0,15000,158055,Yes
baboon_rgb,90,64.38808511571425,0.9999903834541446,5.0,1000,219996,Yes
baboon_rgb,90,61.37568627309608,0.9999791778683231,-2.0,2000,219996,Yes
baboon_rgb,90,59.62901936702278,0.9999657280148205,-4.0,3000,219996,Yes
baboon_rgb,90,58.38238142225714,0.9999492273539623,-21.0,4000,219996,Yes
