Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success
7,50,53.306308383466614,0.9994059697026021,21.0,1000,31290,Yes
7,50,50.43755646718629,0.9985118920151539,21.0,2000,31290,Yes
7,50,48.73649246120176,0.9973745618694991,36.0,3000,31290,Yes
7,50,47.58536408260181,0.9960903835449048,43.0,4000,31290,Yes
7,50,46.75871860817032,0.9946311345495322,60.0,5000,31290,Yes
7,50,46.09923782750835,0.9928136443981638,106.0,6000,31290,Yes
7,50,45.53854604402531,0.9922580839896965,112.0,7000,31290,Yes
7,50,45.05869499880867,0.9916614751360409,114.0,8000,31290,Yes
7,50,44.6201479050821,0.9908290090661312,123.0,9000,31290,Yes
7,50,44.23839765117136,0.9897561427674515,163.0,10000,31290,Yes
7,50,43.86263604407886,0.9884734706748834,196.0,11000,31290,Yes
7,50,43.48925589407929,0.9879663165841034,205.0,12000,31290,Yes
7,50,43.133566016748176,0.9871346012251585,229.0,13000,31290,Yes
7,50,42.77486360574688,0.986006456514895,264.0,14000,31290,Yes
7,50,42.38005080513969,0.9850857567178551,297.0,15000,31290,Yes
7,60,54.89453103047165,0.9995735771646236,26.0,1000,35931,Yes
7,60,51.97320779438034,0.9989477002482939,39.0,2000,35931,Yes
7,60,50.33172147266508,0.9982098015694619,48.0,3000,35931,Yes
7,60,49.13362811509938,0.9972491380711788,67.0,4000,35931,Yes
7,60,48.28293821001989,0.9961930024531356,79.0,5000,35931,Yes
7,60,47.62880196953047,0.9949863858111805,108.0,6000,35931,Yes
7,60,47.12246501984259,0.9940630309093902,141.0,7000,35931,Yes
7,60,46.641998173386014,0.9936928954823906,148.0,8000,35931,Yes
7,60,46.256325410365086,0.9932460333177331,154.0,9000,35931,Yes
7,60,45.88656462658797,0.992613286767749,161.0,10000,35931,Yes
7,60,45.54418617363221,0.9918294814021519,173.0,11000,35931,Yes
7,60,45.20416425253741,0.990804728515547,228.0,12000,35931,Yes
7,60,44.85660620030896,0.9904500236767402,226.0,13000,35931,Yes
7,60,44.542043360542934,0.9899050524008861,241.0,14000,35931,Yes
7,60,44.24853051341715,0.9892399434262795,254.0,15000,35931,Yes
7,70,57.29247794507883,0.9997377629401055,19.0,1000,42036,Yes
7,70,54.32659044938869,0.9993761282939758,21.0,2000,42036,Yes
7,70,52.652579375757334,0.9989079048342436,27.0,3000,42036,Yes
7,70,51.52290678167115,0.9983801423735427,38.0,4000,42036,Yes
7,70,50.67556061042289,0.9977642390356523,54.0,5000,42036,Yes
7,70,50.01181580255212,0.9970639073488695,57.0,6000,42036,Yes
7,70,49.457525529723355,0.9962205107361289,91.0,7000,42036,Yes
7,70,49.02346505325898,0.995806983320462,120.0,8000,42036,Yes
7,70,48.6207048115468,0.9955967430094144,118.0,9000,42036,Yes
7,70,48.25591337855957,0.9953194735530762,113.0,10000,42036,Yes
7,70,47.92681001037268,0.9949563735968132,119.0,11000,42036,Yes
7,70,47.608203658231,0.9944980255255403,134.0,12000,42036,Yes
7,70,47.327627247386786,0.9939325627444182,150.0,13000,42036,Yes
7,70,47.03198549035057,0.9933955575202642,181.0,14000,42036,Yes
7,70,46.74031282454885,0.9931427436742573,201.0,15000,42036,Yes
7,80,60.067765660644014,0.9998687650591033,0.0,1000,50805,Yes
7,80,57.36159204591889,0.9996911120661831,4.0,2000,50805,Yes
7,80,55.66790341676481,0.9994529792953304,5.0,3000,50805,Yes
7,80,54.42498077886165,0.9991395467779589,9.0,4000,50805,Yes
7,80,53.50566751986224,0.9987886948980295,9.0,5000,50805,Yes
7,80,52.76938875254113,0.9983588672165548,23.0,6000,50805,Yes
7,80,52.14620352073591,0.9978318767578834,37.0,7000,50805,Yes
7,80,51.6816682445625,0.9973133798744079,93.0,8000,50805,Yes
7,80,51.30220370872327,0.9972089917765563,100.0,9000,50805,Yes
7,80,50.91530394469107,0.9970739909365706,77.0,10000,50805,Yes
7,80,50.5710111645285,0.9968997991755095,89.0,11000,50805,Yes
7,80,50.23953607061515,0.9966634680151153,94.0,12000,50805,Yes
7,80,49.92979628511749,0.9963673372796746,92.0,13000,50805,Yes
7,80,49.65670992868948,0.9960094574119158,98.0,14000,50805,Yes
7,80,49.42470751751561,0.9956197013597019,130.0,15000,50805,Yes
7,90,64.46504087797652,0.99994787201105,12.0,1000,71688,Yes
7,90,61.52764879839805,0.9998715100327148,-2.0,2000,71688,Yes
7,90,59.85466517033471,0.9997823460498061,-6.0,3000,71688,Yes
7,90,58.589659886158394,0.9996597706349442,18.0,4000,71688,Yes
7,90,57.63361592979598,0.9995133934690219,-21.0,5000,71688,Yes
7,90,56.87502607650214,0.9993362179268839,-13.0,6000,71688,Yes
7,90,56.23629424272397,0.9991340391911161,-7.0,7000,71688,Yes
7,90,55.69949546779212,0.998908407431406,-27.0,8000,71688,Yes
7,90,55.20285553261314,0.9986352011930529,-10.0,9000,71688,Yes
7,90,54.80726362437447,0.9983745919352888,44.0,10000,71688,Yes
7,90,54.58397177373185,0.9983207372557364,38.0,11000,71688,Yes
7,90,54.372298413932896,0.9982822826008834,5.0,12000,71688,Yes
7,90,54.155049796550244,0.9982312338533917,17.0,13000,71688,Yes
7,90,53.970342861972256,0.9981736508940868,21.0,14000,71688,Yes
7,90,53.792195917634345,0.9980992117251408,18.0,15000,71688,Yes
