Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success
airplane,50,50.6719009380755,0.9941876380235021,84.0,1000,39867,Yes
airplane,50,47.369732109341875,0.9877656042969892,107.0,2000,39867,Yes
airplane,50,45.674495185084595,0.9825070161793843,154.0,3000,39867,Yes
airplane,50,44.34348586080684,0.9773863571201113,200.0,4000,39867,Yes
airplane,50,43.26860390929015,0.9728984889828336,246.0,5000,39867,Yes
airplane,50,42.02907541492188,0.9684764780362504,265.0,6000,39867,Yes
airplane,50,41.42327852641288,0.9655141944036021,303.0,7000,39867,Yes
airplane,50,40.36480895885725,0.9618820152154826,339.0,8000,39867,Yes
airplane,50,39.69477342952761,0.9581491427212979,381.0,9000,39867,Yes
airplane,50,39.22687888598488,0.9555725106302941,393.0,10000,39867,Yes
airplane,50,38.79016028328573,0.953165152242433,412.0,11000,39867,Yes
airplane,50,38.42345727013388,0.9505431720938874,460.0,12000,39867,Yes
airplane,50,37.86776994580646,0.9479180037550876,478.0,13000,39867,Yes
airplane,50,37.58736780740393,0.9457904765708042,504.0,14000,39867,Yes
airplane,50,37.30210575414162,0.9438502483645956,520.0,15000,39867,Yes
airplane,60,52.32663842349086,0.9957120080952436,74.0,1000,46491,Yes
airplane,60,49.33645412241969,0.9915449073047798,124.0,2000,46491,Yes
airplane,60,47.613377173174285,0.9877442783977122,173.0,3000,46491,Yes
airplane,60,46.140328871778216,0.9829865450177521,203.0,4000,46491,Yes
airplane,60,45.221052521249405,0.9795138694732944,254.0,5000,46491,Yes
airplane,60,44.40390131780325,0.9761031882718502,303.0,6000,46491,Yes
airplane,60,43.46460988799291,0.9726016080568561,325.0,7000,46491,Yes
airplane,60,42.71924601158495,0.9699372431571739,364.0,8000,46491,Yes
airplane,60,42.190871707035605,0.9673279681080761,389.0,9000,46491,Yes
airplane,60,41.17924548945379,0.9640772660240046,417.0,10000,46491,Yes
airplane,60,40.79452456583729,0.961718999278348,452.0,11000,46491,Yes
airplane,60,40.37344382713506,0.9596129358479172,476.0,12000,46491,Yes
airplane,60,40.00167768857408,0.9574005323328378,498.0,13000,46491,Yes
airplane,60,39.457840348305005,0.9550970079740916,539.0,14000,46491,Yes
airplane,60,39.162138371016056,0.9533420465412621,524.0,15000,46491,Yes
airplane,70,54.64434722403381,0.9973986644252237,75.0,1000,55305,Yes
airplane,70,52.01547052107054,0.9952747303672732,122.0,2000,55305,Yes
airplane,70,50.13470930416088,0.992698595102594,152.0,3000,55305,Yes
airplane,70,48.42404567635957,0.9889437226966439,229.0,4000,55305,Yes
airplane,70,47.583684063292104,0.986836358984194,262.0,5000,55305,Yes
airplane,70,46.81080083743982,0.9843886738251564,299.0,6000,55305,Yes
airplane,70,46.03880725058885,0.9815707411477171,329.0,7000,55305,Yes
airplane,70,45.3902890605157,0.9789683621897382,377.0,8000,55305,Yes
airplane,70,44.76879882813033,0.9768710385664678,392.0,9000,55305,Yes
airplane,70,44.32356258659276,0.9749422727772048,449.0,10000,55305,Yes
airplane,70,43.10014432357919,0.9721759808441185,477.0,11000,55305,Yes
airplane,70,42.821805059511526,0.9708017538828458,481.0,12000,55305,Yes
airplane,70,42.43154080457434,0.9689331836887055,544.0,13000,55305,Yes
airplane,70,42.024902559343964,0.9673091378859415,552.0,14000,55305,Yes
airplane,70,41.59907609760127,0.9655879072228328,557.0,15000,55305,Yes
airplane,80,58.04020583894704,0.9987309491855657,88.0,1000,69516,Yes
