Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success
airplane,50,68.27471033609876,0.9998645631329728,28.0,1000,39867,Yes
airplane,50,65.40538790696603,0.9997480718705182,45.0,2000,39867,Yes
airplane,50,63.99814474145181,0.9996649999983999,2.0,3000,39867,Yes
airplane,50,63.00467644296279,0.999599546486245,-62.0,4000,39867,Yes
airplane,50,62.2704098891736,0.999554988631417,-44.0,5000,39867,Yes
airplane,50,61.666758567809545,0.9995221705465686,-5.0,6000,39867,Yes
airplane,50,61.20963245261541,0.9994947787829016,7.0,7000,39867,Yes
airplane,50,60.78445903448038,0.9994674395069141,29.0,8000,39867,Yes
airplane,50,60.4232652693388,0.9994430883538933,-47.0,9000,39867,Yes
airplane,50,60.09268043571769,0.999424079833571,-63.0,10000,39867,Yes
airplane,50,59.77991552625817,0.9994038720917172,-19.0,11000,39867,Yes
airplane,50,59.512468166694525,0.9993888145412892,25.0,12000,39867,Yes
airplane,50,59.26247414178275,0.9993730475614657,19.0,13000,39867,Yes
airplane,50,59.026090671122034,0.9993596513242168,-4.0,14000,39867,Yes
airplane,50,58.82556554693621,0.9993462900859457,-59.0,15000,39867,Yes
airplane,60,68.32465948861356,0.9998654730621362,-1.0,1000,46491,Yes
airplane,60,65.23369394228195,0.9997287495844792,-91.0,2000,46491,Yes
airplane,60,63.77496500718405,0.9996296114073187,-57.0,3000,46491,Yes
airplane,60,62.790699889213705,0.9995435679571598,-58.0,4000,46491,Yes
airplane,60,62.0447461704523,0.9994717084131869,-48.0,5000,46491,Yes
airplane,60,61.472227636784226,0.9994180826057757,-79.0,6000,46491,Yes
airplane,60,60.98880444558687,0.999375008930463,-45.0,7000,46491,Yes
airplane,60,60.55644851070059,0.9993388009819405,-49.0,8000,46491,Yes
airplane,60,60.21971247451343,0.9993090075972993,-70.0,9000,46491,Yes
airplane,60,59.87640217078492,0.9992793387611095,-104.0,10000,46491,Yes
airplane,60,59.56470234695836,0.9992511089580564,-113.0,11000,46491,Yes
airplane,60,59.311552372792605,0.9992306345248259,-98.0,12000,46491,Yes
airplane,60,59.08781010133251,0.9992124374031318,-135.0,13000,46491,Yes
airplane,60,58.86933339113949,0.9991943128810806,-129.0,14000,46491,Yes
airplane,60,58.66787978280398,0.9991773385567009,-116.0,15000,46491,Yes
airplane,70,68.77127682230136,0.9998745399842202,70.0,1000,55305,Yes
airplane,70,65.77636375445503,0.9997539237545524,20.0,2000,55305,Yes
airplane,70,64.37201951945431,0.99966184698988,48.0,3000,55305,Yes
airplane,70,63.31362424381794,0.9995752703506943,72.0,4000,55305,Yes
airplane,70,62.4444578173203,0.99948610673971,28.0,5000,55305,Yes
airplane,70,61.74486915570485,0.9994090064508415,77.0,6000,55305,Yes
airplane,70,61.24681832081394,0.999343037659883,114.0,7000,55305,Yes
airplane,70,60.77074590398662,0.9992812417440468,128.0,8000,55305,Yes
airplane,70,60.351953688703766,0.9992352100571604,22.0,9000,55305,Yes
airplane,70,60.01350225408367,0.9991965929665945,105.0,10000,55305,Yes
airplane,70,59.71095746977346,0.99916069850168,5.0,11000,55305,Yes
airplane,70,59.42098218561406,0.9991267480744026,36.0,12000,55305,Yes
airplane,70,59.170368566139146,0.999097995400125,48.0,13000,55305,Yes
airplane,70,58.940212710795834,0.9990719597013525,-49.0,14000,55305,Yes
airplane,70,58.721642626985854,0.9990507052005523,13.0,15000,55305,Yes
airplane,80,68.63891736732596,0.9998684695932116,-63.0,1000,69516,Yes
airplane,80,66.04049618639029,0.9997601954056511,31.0,2000,69516,Yes
airplane,80,64.56519783940547,0.9996680475878467,-8.0,3000,69516,Yes
airplane,80,63.42767115836636,0.9995738915045937,-72.0,4000,69516,Yes
airplane,80,62.65666393717509,0.9994952105051651,-67.0,5000,69516,Yes
airplane,80,62.04311455784026,0.999422206011074,-49.0,6000,69516,Yes
airplane,80,61.491580616509424,0.9993509847245258,24.0,7000,69516,Yes
airplane,80,60.98241070896053,0.9992735466021246,-62.0,8000,69516,Yes
airplane,80,60.564855241607276,0.9992126364931583,-98.0,9000,69516,Yes
airplane,80,60.20766917504679,0.9991509563440664,-22.0,10000,69516,Yes
airplane,80,59.88110970192797,0.999096222702844,-77.0,11000,69516,Yes
airplane,80,59.5903613370953,0.9990479989204932,-32.0,12000,69516,Yes
airplane,80,59.30221293646007,0.9989943667770932,-91.0,13000,69516,Yes
airplane,80,59.049772467169376,0.9989532198195198,-75.0,14000,69516,Yes
airplane,80,58.821290612093556,0.9989110209328443,-117.0,15000,69516,Yes
airplane,90,69.22416103149163,0.9998849133199178,57.0,1000,103851,Yes
airplane,90,66.84954257749388,0.999798605700636,7.0,2000,103851,Yes
airplane,90,65.35963522883381,0.9997154150321108,-46.0,3000,103851,Yes
airplane,90,64.31659755413588,0.9996387200707642,-25.0,4000,103851,Yes
airplane,90,63.51951077187518,0.9995696966507316,-34.0,5000,103851,Yes
airplane,90,62.845298185999496,0.9994986091545283,-46.0,6000,103851,Yes
airplane,90,62.25925101701062,0.9994302913194106,-26.0,7000,103851,Yes
airplane,90,61.76509644965425,0.9993666229772451,-39.0,8000,103851,Yes
airplane,90,61.35788657881238,0.9993079194250652,52.0,9000,103851,Yes
airplane,90,60.96901442319178,0.9992457417000934,-21.0,10000,103851,Yes
airplane,90,60.6350599600004,0.9991935165312235,-40.0,11000,103851,Yes
airplane,90,60.31454036456465,0.9991343420944162,18.0,12000,103851,Yes
airplane,90,60.01018108079041,0.9990741346119699,-2.0,13000,103851,Yes
airplane,90,59.73438122453474,0.999022586793813,-47.0,14000,103851,Yes
airplane,90,59.5004154779582,0.9989713338887292,-30.0,15000,103851,Yes
baboon,50,69.49905312792276,0.9999289120154699,-44.0,1000,94578,Yes
baboon,50,66.82126569604559,0.9998771310388187,25.0,2000,94578,Yes
baboon,50,65.38509167357431,0.999839152980767,-41.0,3000,94578,Yes
baboon,50,64.31040661250441,0.9998002754875481,79.0,4000,94578,Yes
baboon,50,63.55171495941231,0.9997720362610766,18.0,5000,94578,Yes
baboon,50,62.884226527506456,0.9997432911250436,44.0,6000,94578,Yes
baboon,50,62.317071504030004,0.9997192539278541,171.0,7000,94578,Yes
baboon,50,61.80043324347032,0.9996943434373992,142.0,8000,94578,Yes
baboon,50,61.40058834674599,0.9996757796705812,85.0,9000,94578,Yes
baboon,50,61.023816726876454,0.9996570998681537,28.0,10000,94578,Yes
baboon,50,60.67564990926121,0.9996386863231418,9.0,11000,94578,Yes
baboon,50,60.34257009812852,0.9996219677823108,21.0,12000,94578,Yes
baboon,50,60.0483999600501,0.9996058024940407,15.0,13000,94578,Yes
baboon,50,59.791556216235776,0.9995938253148402,36.0,14000,94578,Yes
baboon,50,59.54515555535717,0.9995821011112919,31.0,15000,94578,Yes
baboon,60,70.09163946140325,0.9999357811365747,66.0,1000,108879,Yes
baboon,60,67.35244228807171,0.9998867684694439,112.0,2000,108879,Yes
baboon,60,65.77540047513001,0.9998468410354202,92.0,3000,108879,Yes
baboon,60,64.77730951359739,0.9998140153358415,58.0,4000,108879,Yes
baboon,60,63.94158111333577,0.9997837629971065,133.0,5000,108879,Yes
baboon,60,63.220642535783966,0.9997551116228971,81.0,6000,108879,Yes
baboon,60,62.66795164936183,0.9997280213964875,138.0,7000,108879,Yes
baboon,60,62.16260527410357,0.9997042514937393,140.0,8000,108879,Yes
baboon,60,61.72284105430283,0.9996828103079091,156.0,9000,108879,Yes
baboon,60,61.32146826805403,0.9996620367796611,161.0,10000,108879,Yes
baboon,60,60.95058246229592,0.9996417353679489,113.0,11000,108879,Yes
baboon,60,60.642734052339364,0.9996258029724383,100.0,12000,108879,Yes
baboon,60,60.34119186676313,0.9996083873067341,143.0,13000,108879,Yes
baboon,60,60.07812945226792,0.9995933455482975,36.0,14000,108879,Yes
baboon,60,59.84113458669651,0.9995799479893311,50.0,15000,108879,Yes
baboon,70,70.37105940937104,0.9999398917660073,-71.0,1000,127848,Yes
baboon,70,67.80448125307032,0.999897634064905,-133.0,2000,127848,Yes
baboon,70,66.19260334851798,0.999858262135947,-1.0,3000,127848,Yes
baboon,70,65.06607557478415,0.9998230263035117,-81.0,4000,127848,Yes
baboon,70,64.26391368616146,0.9997950761350567,-47.0,5000,127848,Yes
baboon,70,63.56906594061793,0.9997677816866835,-108.0,6000,127848,Yes
baboon,70,62.95056277684306,0.9997380379172673,-141.0,7000,127848,Yes
baboon,70,62.4704796719794,0.9997145390610948,-11.0,8000,127848,Yes
baboon,70,62.05005314884896,0.9996914701510573,-30.0,9000,127848,Yes
baboon,70,61.659285547263,0.999669186117859,-80.0,10000,127848,Yes
baboon,70,61.288093919026565,0.9996493275281192,-25.0,11000,127848,Yes
baboon,70,60.968059124991115,0.9996319611580293,-70.0,12000,127848,Yes
baboon,70,60.66762035857017,0.9996145837241365,-42.0,13000,127848,Yes
baboon,70,60.40336982001057,0.9995975172271434,6.0,14000,127848,Yes
baboon,70,60.152432248313985,0.9995834919651206,-23.0,15000,127848,Yes
baboon,80,71.36450931387816,0.9999514169523943,-8.0,1000,158055,Yes
baboon,80,68.52677584206134,0.999911871861479,-1.0,2000,158055,Yes
baboon,80,66.86065775585507,0.99987862997685,97.0,3000,158055,Yes
baboon,80,65.70470425574786,0.9998455624902307,-6.0,4000,158055,Yes
baboon,80,64.83820191955202,0.9998174062820141,-30.0,5000,158055,Yes
baboon,80,64.09517614172651,0.9997852900709563,-43.0,6000,158055,Yes
baboon,80,63.52122995570143,0.999761666779943,-24.0,7000,158055,Yes
baboon,80,63.01486636978454,0.9997379141164052,-121.0,8000,158055,Yes
baboon,80,62.580768142870824,0.999714904926503,-183.0,9000,158055,Yes
baboon,80,62.171837549878994,0.9996944705916029,-59.0,10000,158055,Yes
baboon,80,61.79619302718272,0.9996741185323764,-9.0,11000,158055,Yes
baboon,80,61.448690515775155,0.9996515419362004,-112.0,12000,158055,Yes
